device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA H20-3e,seq_copy,0.25,float32,0.0220,0.0045,23.8834,4000.0000,0.60,True
NVIDIA H20-3e,seq_copy,0.5,float32,0.0214,0.0019,48.9440,4000.0000,1.22,True
NVIDIA H20-3e,seq_copy,1.0,float32,0.0213,0.0012,98.4024,4000.0000,2.46,True
NVIDIA H20-3e,seq_copy,2.0,float32,0.0227,0.0012,184.8688,4000.0000,4.62,True
NVIDIA H20-3e,seq_copy,4.0,float32,0.0227,0.0018,369.7377,4000.0000,9.24,True
NVIDIA H20-3e,seq_copy,6.0,float32,0.0226,0.0014,556.9632,4000.0000,13.92,True
NVIDIA H20-3e,seq_copy,15.0,float32,0.0255,0.0009,1234.9749,4000.0000,30.87,True
NVIDIA H20-3e,seq_copy,30.0,float32,0.0336,0.0079,1875.1360,4000.0000,46.88,True
NVIDIA H20-3e,seq_copy,45.0,float32,0.0414,0.0047,2281.7176,4000.0000,57.04,True
NVIDIA H20-3e,seq_copy,60.0,float32,0.0496,0.0040,2536.0593,4000.0000,63.40,True
NVIDIA H20-3e,seq_copy,90.0,float32,0.0630,0.0040,2995.5511,4000.0000,74.89,True
NVIDIA H20-3e,seq_copy,120.0,float32,0.0773,0.0011,3253.7526,4000.0000,81.34,True
NVIDIA H20-3e,seq_copy,240.0,float32,0.1364,0.0031,3690.4365,4000.0000,92.26,True
NVIDIA H20-3e,seq_copy,256.0,float32,0.1445,0.0018,3715.8838,4000.0000,92.90,True
NVIDIA H20-3e,seq_copy,512.0,float32,0.2682,0.0025,4004.1088,4000.0000,100.10,True
NVIDIA H20-3e,seq_copy,1024.0,float32,0.5183,0.0036,4143.0340,4000.0000,103.58,True
NVIDIA H20-3e,seq_copy,0.25,bfloat16,0.0217,0.0025,24.1830,4000.0000,0.60,True
NVIDIA H20-3e,seq_copy,0.5,bfloat16,0.0210,0.0015,49.9512,4000.0000,1.25,True
NVIDIA H20-3e,seq_copy,1.0,bfloat16,0.0214,0.0019,98.1813,4000.0000,2.45,True
NVIDIA H20-3e,seq_copy,2.0,bfloat16,0.0224,0.0008,187.3796,4000.0000,4.68,True
NVIDIA H20-3e,seq_copy,4.0,bfloat16,0.0222,0.0011,378.2742,4000.0000,9.46,True
NVIDIA H20-3e,seq_copy,6.0,bfloat16,0.0219,0.0021,574.4573,4000.0000,14.36,True
NVIDIA H20-3e,seq_copy,15.0,bfloat16,0.0263,0.0010,1196.6403,4000.0000,29.92,True
NVIDIA H20-3e,seq_copy,30.0,bfloat16,0.0338,0.0013,1859.1773,4000.0000,46.48,True
NVIDIA H20-3e,seq_copy,45.0,bfloat16,0.0425,0.0017,2219.8871,4000.0000,55.50,True
NVIDIA H20-3e,seq_copy,60.0,bfloat16,0.0497,0.0008,2529.5337,4000.0000,63.24,True
NVIDIA H20-3e,seq_copy,90.0,bfloat16,0.0664,0.0016,2841.8406,4000.0000,71.05,True
NVIDIA H20-3e,seq_copy,120.0,bfloat16,0.0823,0.0013,3057.6672,4000.0000,76.44,True
NVIDIA H20-3e,seq_copy,240.0,bfloat16,0.1457,0.0014,3454.1868,4000.0000,86.35,True
NVIDIA H20-3e,seq_copy,256.0,bfloat16,0.1535,0.0017,3498.5333,4000.0000,87.46,True
NVIDIA H20-3e,seq_copy,512.0,bfloat16,0.2886,0.0019,3720.8287,4000.0000,93.02,True
NVIDIA H20-3e,seq_copy,1024.0,bfloat16,0.5579,0.0023,3849.5305,4000.0000,96.24,True
NVIDIA H20-3e,seq_write,0.25,float32,0.0203,0.0023,12.8906,4000.0000,0.32,True
NVIDIA H20-3e,seq_write,0.5,float32,0.0197,0.0016,26.5974,4000.0000,0.66,True
NVIDIA H20-3e,seq_write,1.0,float32,0.0196,0.0014,53.5425,4000.0000,1.34,True
NVIDIA H20-3e,seq_write,2.0,float32,0.0196,0.0018,106.8231,4000.0000,2.67,True
NVIDIA H20-3e,seq_write,4.0,float32,0.0196,0.0011,213.9951,4000.0000,5.35,True
NVIDIA H20-3e,seq_write,6.0,float32,0.0212,0.0023,296.3195,4000.0000,7.41,True
NVIDIA H20-3e,seq_write,15.0,float32,0.0210,0.0011,748.1279,4000.0000,18.70,True
NVIDIA H20-3e,seq_write,30.0,float32,0.0233,0.0008,1347.5531,4000.0000,33.69,True
NVIDIA H20-3e,seq_write,45.0,float32,0.0268,0.0022,1757.5209,4000.0000,43.94,True
NVIDIA H20-3e,seq_write,60.0,float32,0.0301,0.0016,2091.5745,4000.0000,52.29,True
NVIDIA H20-3e,seq_write,90.0,float32,0.0371,0.0007,2546.7358,4000.0000,63.67,True
NVIDIA H20-3e,seq_write,120.0,float32,0.0440,0.0007,2859.7527,4000.0000,71.49,True
NVIDIA H20-3e,seq_write,240.0,float32,0.0714,0.0019,3524.2303,4000.0000,88.11,True
NVIDIA H20-3e,seq_write,256.0,float32,0.0752,0.0013,3568.1021,4000.0000,89.20,True
NVIDIA H20-3e,seq_write,512.0,float32,0.1334,0.0020,4025.2439,4000.0000,100.63,True
NVIDIA H20-3e,seq_write,1024.0,float32,0.2496,0.0023,4302.6778,4000.0000,107.57,True
NVIDIA H20-3e,seq_write,0.25,bfloat16,0.0212,0.0021,12.3746,4000.0000,0.31,True
NVIDIA H20-3e,seq_write,0.5,bfloat16,0.0241,0.0031,21.7728,4000.0000,0.54,True
NVIDIA H20-3e,seq_write,1.0,bfloat16,0.0195,0.0011,53.7621,4000.0000,1.34,True
NVIDIA H20-3e,seq_write,2.0,bfloat16,0.0195,0.0014,107.5242,4000.0000,2.69,True
NVIDIA H20-3e,seq_write,4.0,bfloat16,0.0198,0.0016,212.2624,4000.0000,5.31,True
NVIDIA H20-3e,seq_write,6.0,bfloat16,0.0213,0.0013,295.8736,4000.0000,7.40,True
NVIDIA H20-3e,seq_write,15.0,bfloat16,0.0213,0.0008,739.6840,4000.0000,18.49,True
NVIDIA H20-3e,seq_write,30.0,bfloat16,0.0251,0.0009,1254.6777,4000.0000,31.37,True
NVIDIA H20-3e,seq_write,45.0,bfloat16,0.0296,0.0009,1593.2577,4000.0000,39.83,True
NVIDIA H20-3e,seq_write,60.0,bfloat16,0.0343,0.0006,1833.1748,4000.0000,45.83,True
NVIDIA H20-3e,seq_write,90.0,bfloat16,0.0440,0.0006,2144.8146,4000.0000,53.62,True
NVIDIA H20-3e,seq_write,120.0,bfloat16,0.0532,0.0010,2367.3450,4000.0000,59.18,True
NVIDIA H20-3e,seq_write,240.0,bfloat16,0.0905,0.0011,2781.8606,4000.0000,69.55,True
NVIDIA H20-3e,seq_write,256.0,bfloat16,0.0949,0.0012,2828.2562,4000.0000,70.71,True
NVIDIA H20-3e,seq_write,512.0,bfloat16,0.1743,0.0015,3080.3665,4000.0000,77.01,True
NVIDIA H20-3e,seq_write,1024.0,bfloat16,0.3320,0.0018,3233.6946,4000.0000,80.84,True
NVIDIA H20-3e,strided_copy,0.25,float32,0.0246,0.0024,21.2779,4000.0000,0.53,True
NVIDIA H20-3e,strided_copy,0.5,float32,0.0244,0.0013,42.9463,4000.0000,1.07,True
NVIDIA H20-3e,strided_copy,1.0,float32,0.0282,0.0015,74.4727,4000.0000,1.86,True
NVIDIA H20-3e,strided_copy,2.0,float32,0.0334,0.0016,125.5479,4000.0000,3.14,True
NVIDIA H20-3e,strided_copy,4.0,float32,0.0490,0.0010,171.1123,4000.0000,4.28,True
NVIDIA H20-3e,strided_copy,6.0,float32,0.0626,0.0026,200.9280,4000.0000,5.02,True
NVIDIA H20-3e,strided_copy,15.0,float32,0.1269,0.0016,247.8981,4000.0000,6.20,True
NVIDIA H20-3e,strided_copy,30.0,float32,0.2358,0.0014,266.7680,4000.0000,6.67,True
NVIDIA H20-3e,strided_copy,45.0,float32,0.3446,0.0018,273.8400,4000.0000,6.85,True
NVIDIA H20-3e,strided_copy,60.0,float32,0.4549,0.0014,276.5816,4000.0000,6.91,True
NVIDIA H20-3e,strided_copy,90.0,float32,0.8176,0.0025,230.8373,4000.0000,5.77,True
NVIDIA H20-3e,strided_copy,120.0,float32,1.9215,0.0099,130.9683,4000.0000,3.27,True
NVIDIA H20-3e,strided_copy,240.0,float32,5.0297,0.0097,100.0690,4000.0000,2.50,True
NVIDIA H20-3e,strided_copy,256.0,float32,5.4594,0.0104,98.3395,4000.0000,2.46,True
NVIDIA H20-3e,strided_copy,512.0,float32,11.2704,0.0345,95.2710,4000.0000,2.38,True
NVIDIA H20-3e,strided_copy,1024.0,float32,22.4835,0.0874,95.5138,4000.0000,2.39,True
NVIDIA H20-3e,strided_copy,0.25,bfloat16,0.0253,0.0031,20.7524,4000.0000,0.52,True
NVIDIA H20-3e,strided_copy,0.5,bfloat16,0.0286,0.0016,36.6738,4000.0000,0.92,True
NVIDIA H20-3e,strided_copy,1.0,bfloat16,0.0340,0.0016,61.7390,4000.0000,1.54,True
NVIDIA H20-3e,strided_copy,2.0,bfloat16,0.0513,0.0011,81.8177,4000.0000,2.05,True
NVIDIA H20-3e,strided_copy,4.0,bfloat16,0.0811,0.0011,103.4915,4000.0000,2.59,True
NVIDIA H20-3e,strided_copy,6.0,bfloat16,0.1124,0.0011,111.9317,4000.0000,2.80,True
NVIDIA H20-3e,strided_copy,15.0,bfloat16,0.2506,0.0019,125.5158,4000.0000,3.14,True
NVIDIA H20-3e,strided_copy,30.0,bfloat16,0.4873,0.0019,129.1138,4000.0000,3.23,True
NVIDIA H20-3e,strided_copy,45.0,bfloat16,0.8090,0.0025,116.6490,4000.0000,2.92,True
NVIDIA H20-3e,strided_copy,60.0,bfloat16,1.7488,0.0140,71.9510,4000.0000,1.80,True
NVIDIA H20-3e,strided_copy,90.0,bfloat16,3.3894,0.0131,55.6861,4000.0000,1.39,True
NVIDIA H20-3e,strided_copy,120.0,bfloat16,4.7580,0.0066,52.8920,4000.0000,1.32,True
NVIDIA H20-3e,strided_copy,240.0,bfloat16,10.0238,0.0234,50.2121,4000.0000,1.26,True
NVIDIA H20-3e,strided_copy,256.0,bfloat16,10.7840,0.0284,49.7842,4000.0000,1.24,True
NVIDIA H20-3e,strided_copy,512.0,bfloat16,21.8427,0.0708,49.1580,4000.0000,1.23,True
NVIDIA H20-3e,strided_copy,1024.0,bfloat16,43.5796,0.1243,49.2773,4000.0000,1.23,True
